imsi,longitude,latitude,newPlot,date_time,cluster
460000095005561145,122.88963319999999,41.51470947,106,1538508443086,-1
460000095005561145,122.89608759999999,41.51839828,107,1538559097549,1
460000095005561145,122.89608759999999,41.51839828,107,1538559169283,1
460000095005561145,122.89608759999999,41.51839828,107,1538559199553,1
460000095005561145,122.89608759999999,41.51839828,107,1538560137489,1
460000095005561145,122.88963319999999,41.51470947,106,1538561315508,1
460000095005561145,122.88963319999999,41.51470947,106,1538561315511,1
460000095005561145,122.8741531,41.50146866,113,1538561699021,-1
460000095005561145,122.88963319999999,41.51470947,106,1538561797819,1
460000095005561145,122.88963319999999,41.51470947,106,1538561873017,1
460000095005561145,122.90679170000001,41.52077866,110,1538563007506,-1
460000095005561145,122.8947372,41.51762009,108,1538565120612,2
460000095005561145,122.8947372,41.51762009,108,1538565308214,2
460000095005561145,122.8947372,41.51762009,108,1538566778191,2
460000095005561145,122.8947372,41.51762009,108,1538566796274,2
460000095005561145,122.8947372,41.51762009,108,1538567458779,2
460000095005561145,122.8947372,41.51762009,108,1538567647584,2
460000095005561145,122.8947372,41.51762009,108,1538568629449,2
460000095005561145,122.8947372,41.51762009,108,1538568718149,2
460000095005561145,122.8947372,41.51762009,108,1538569911052,2
460000095005561145,122.8947372,41.51762009,108,1538570363169,2
460000095005561145,122.89608759999999,41.51839828,107,1538570436158,2
460000095005561145,122.89608759999999,41.51839828,107,1538570526036,2
460000095005561145,122.8947372,41.51762009,108,1538571786846,2
460000095005561145,122.8947372,41.51762009,108,1538571908278,2
460000095005561145,122.89608759999999,41.51839828,107,1538573050048,2
460000095005561145,123.2350616,41.76229858,111,1538575290834,-1
460000095005561145,123.30343629999999,41.77828979,109,1538575735900,-1
460000095005561145,123.40065,41.79916,112,1538576649640,3
460000095005561145,123.41198729999999,41.8078804,56,1538578125445,3
460000095005561145,123.41198729999999,41.8078804,56,1538578725451,3
460000095005561145,123.41198729999999,41.8078804,56,1538578739839,3
460000095005561145,123.41198729999999,41.8078804,56,1538579250187,3
460000095005561145,123.41198729999999,41.8078804,56,1538580686688,3
460000095005561145,123.40872959999999,41.80886078,43,1538582002656,3
460000095005561145,123.40872959999999,41.80886078,43,1538582145592,3
460000095005565778,123.39877320000001,41.65663147,116,1538530876482,1
460000095005565778,123.4041519,41.65242004,1306,1538530931657,1
460000095005565778,123.40724180000001,41.6687088,1309,1538530947516,-1
460000095005565778,123.3996277,41.69952011,829,1538531710113,-1
460000095005565778,123.3918686,41.71324921,1224,1538531779144,-1
460000095005565778,123.3974915,41.79610062,916,1538532096839,2
460000095005565778,123.3974915,41.79610062,916,1538532258377,2
460000095005565778,123.3974915,41.79610062,916,1538532530941,2
460000095005565778,123.38919070000001,41.78546906,806,1538533142986,2
460000095005565778,123.40197749999999,41.78142166,274,1538533382375,2
460000095005565778,123.41152949999999,41.76802826,536,1538535679885,3
460000095005565778,123.41152949999999,41.76802826,536,1538536040565,3
460000095005565778,123.41152949999999,41.76802826,536,1538536893951,3
460000095005565778,123.41152949999999,41.76802826,536,1538538602445,3
460000095005565778,123.41152949999999,41.76802826,536,1538546749370,-1
460000095005565778,123.4357605,41.77159119,535,1538547628927,-1
460000095005565778,123.41596979999998,41.7686615,1305,1538550213088,4
460000095005565778,123.41152949999999,41.76802826,536,1538550214936,4
460000095005565778,123.41152949999999,41.76802826,536,1538550226803,4
460000095005565778,123.41152949999999,41.76802826,536,1538550837253,4
460000095005565778,123.41152949999999,41.76802826,536,1538553637325,5
460000095005565778,123.41152949999999,41.76802826,536,1538553876126,5
460000095005565778,123.41152949999999,41.76802826,536,1538554368579,5
460000095005565778,123.41152949999999,41.76802826,536,1538555189316,5
460000095005565778,123.41152949999999,41.76802826,536,1538564180287,6
460000095005565778,123.41152949999999,41.76802826,536,1538565618013,6
460000095005565778,123.41152949999999,41.76802826,536,1538568567275,-1
460000095005565778,123.4073486,41.77185059,1074,1538572798142,7
460000095005565778,123.41680149999999,41.77732849,1307,1538573093994,7
460000095005565778,123.41349790000001,41.78467178,1308,1538573184897,7
460000095005565778,123.41928100000001,41.80438995,809,1538573556091,8
460000095005565778,123.4128571,41.80469894,10,1538573632045,8
460000095005565778,123.4128571,41.80469894,10,1538573656741,8
460000095005565778,123.40870670000001,41.80638123,64,1538574860376,8
460000095005565778,123.40870670000001,41.80638123,64,1538576909867,9
460000095005565778,123.40870670000001,41.80638123,64,1538577009036,9
460000095005565778,123.4106903,41.80588913,131,1538577941346,9
460000095005565778,123.40870670000001,41.80638123,64,1538577965870,9
460000095005565778,123.4106903,41.80588913,131,1538578107740,9
460000095005565778,123.40870670000001,41.80638123,64,1538578605866,9
460000095005565778,123.40870670000001,41.80638123,64,1538579237623,9
460000095005565778,123.40870670000001,41.80638123,64,1538579411875,9
460000095005565778,123.40870670000001,41.80638123,64,1538580045696,9
460000095005571676,123.4117813,41.80295181,349,1538496132709,1
460000095005571676,123.4117813,41.80295181,349,1538496581757,1
460000095005571676,123.41426090000002,41.80113983,207,1538498011833,1
460000095005571676,123.4117813,41.80295181,349,1538498302308,1
460000095005571676,123.4117813,41.80295181,349,1538498665215,1
460000095005571676,123.4117813,41.80295181,349,1538499574695,1
460000095005571676,123.4117813,41.80295181,349,1538499814302,1
460000095005571676,123.4117813,41.80295181,349,1538500602306,1
460000095005571676,123.4117813,41.80295181,349,1538500728308,1
460000095005571676,123.4117813,41.80295181,349,1538501897955,1
460000095005571676,123.4117813,41.80295181,349,1538503176442,1
460000095005571676,123.4117813,41.80295181,349,1538503208495,1
460000095005571676,123.4117813,41.80295181,349,1538504406294,1
460000095005571676,123.4117813,41.80295181,349,1538504525780,1
