timestamp,imsi,laci,longitude,latitude
1538508443086,460000095005561145,16392-2287688,122.88963319999999,41.51470947
1538559097549,460000095005561145,16392-67169077,122.89608759999999,41.51839828
1538559169283,460000095005561145,16392-67169077,122.89608759999999,41.51839828
1538559199553,460000095005561145,16392-67169077,122.89608759999999,41.51839828
1538560137489,460000095005561145,16392-67169077,122.89608759999999,41.51839828
1538561315508,460000095005561145,16392-2287689,122.88963319999999,41.51470947
1538561315511,460000095005561145,16392-2287689,122.88963319999999,41.51470947
1538561699021,460000095005561145,16392-67167243,122.8741531,41.50146866
1538561797819,460000095005561145,16392-2287679,122.88963319999999,41.51470947
1538561873017,460000095005561145,16392-2287679,122.88963319999999,41.51470947
1538563007506,460000095005561145,16392-54556744,122.90679170000001,41.52077866
1538565120612,460000095005561145,16392-67281931,122.8947372,41.51762009
1538565308214,460000095005561145,16392-67281931,122.8947372,41.51762009
1538566778191,460000095005561145,16392-67281931,122.8947372,41.51762009
1538566796274,460000095005561145,16392-67281931,122.8947372,41.51762009
1538567458779,460000095005561145,16392-67281931,122.8947372,41.51762009
1538567647584,460000095005561145,16392-67281931,122.8947372,41.51762009
1538568629449,460000095005561145,16392-67281931,122.8947372,41.51762009
1538568718149,460000095005561145,16392-67281931,122.8947372,41.51762009
1538569911052,460000095005561145,16392-67281931,122.8947372,41.51762009
1538570363169,460000095005561145,16392-67281931,122.8947372,41.51762009
1538570436158,460000095005561145,16392-67169036,122.89608759999999,41.51839828
1538570526036,460000095005561145,16392-67169036,122.89608759999999,41.51839828
1538571786846,460000095005561145,16392-67281931,122.8947372,41.51762009
1538571908278,460000095005561145,16392-67281931,122.8947372,41.51762009
1538573050048,460000095005561145,16392-67169036,122.89608759999999,41.51839828
1538575290834,460000095005561145,16389-2571019,123.2350616,41.76229858
1538575735900,460000095005561145,16404-60139396,123.30343629999999,41.77828979
1538576649640,460000095005561145,16655-67684149,123.40065,41.79916
1538578125445,460000095005561145,16789-67569932,123.41198729999999,41.8078804
1538578725451,460000095005561145,16789-67569932,123.41198729999999,41.8078804
1538578739839,460000095005561145,16789-67569932,123.41198729999999,41.8078804
1538579250187,460000095005561145,16789-67569932,123.41198729999999,41.8078804
1538580686688,460000095005561145,16789-67569932,123.41198729999999,41.8078804
1538582002656,460000095005561145,16789-67567668,123.40872959999999,41.80886078
1538582145592,460000095005561145,16789-67567668,123.40872959999999,41.80886078
1538530876482,460000095005565778,16642-249678091,123.39877320000001,41.65663147
1538530931657,460000095005565778,16642-235014933,123.4041519,41.65242004
1538530947516,460000095005565778,16642-61402509,123.40724180000001,41.6687088
1538531710113,460000095005565778,16642-67315980,123.3996277,41.69952011
1538531779144,460000095005565778,16642-235007509,123.3918686,41.71324921
1538532096839,460000095005565778,16642-2180875,123.3974915,41.79610062
1538532258377,460000095005565778,16642-2180915,123.3974915,41.79610062
1538532530941,460000095005565778,16655-67442741,123.3974915,41.79610062
1538533142986,460000095005565778,16884-67925279,123.38919070000001,41.78546906
1538533382375,460000095005565778,16401-67584779,123.40197749999999,41.78142166
1538535679885,460000095005565778,16788-67465995,123.41152949999999,41.76802826
1538536040565,460000095005565778,16788-67465995,123.41152949999999,41.76802826
1538536893951,460000095005565778,16788-67466035,123.41152949999999,41.76802826
1538538602445,460000095005565778,16788-67466045,123.41152949999999,41.76802826
1538546749370,460000095005565778,16788-67466036,123.41152949999999,41.76802826
1538547628927,460000095005565778,16402-67463711,123.4357605,41.77159119
1538550213088,460000095005565778,16788-61708173,123.41596979999998,41.7686615
1538550214936,460000095005565778,16788-67465997,123.41152949999999,41.76802826
1538550226803,460000095005565778,16788-67465996,123.41152949999999,41.76802826
1538550837253,460000095005565778,16788-67466046,123.41152949999999,41.76802826
1538553637325,460000095005565778,16788-67465995,123.41152949999999,41.76802826
1538553876126,460000095005565778,16788-67466035,123.41152949999999,41.76802826
