imsi,start,end,startPlot,endPlot,startlatitude,startlongitude,endlatitude,endlongitude,type
460000095005561145,2018-10-03 03:27:23.086000,2018-10-03 18:17:53.017000,106,107,122.88963319999999,41.51470947,122.89608759999999,41.51839828,3.0
460000095005561145,2018-10-03 17:31:37.549000,2018-10-03 18:14:59.021000,106,113,122.88963319999999,41.51470947,122.8741531,41.50146866,3.0
460000095005561145,2018-10-03 18:14:59.021000,2018-10-03 18:36:47.506000,113,110,122.8741531,41.50146866,122.90679170000001,41.52077866,3.0
460000095005561145,2018-10-03 18:36:47.506000,2018-10-03 21:24:10.048000,110,108,122.90679170000001,41.52077866,122.8947372,41.51762009,3.0
460000095005561145,2018-10-03 19:12:00.612000,2018-10-03 22:01:30.834000,107,111,122.89608759999999,41.51839828,123.2350616,41.76229858,3.0
460000095005561145,2018-10-03 22:01:30.834000,2018-10-03 22:08:55.900000,111,109,123.2350616,41.76229858,123.30343629999999,41.77828979,4.0
460000095005561145,2018-10-03 22:08:55.900000,2018-10-03 22:24:09.640000,109,112,123.30343629999999,41.77828979,123.40065,41.79916,4.0
460000095005561145,2018-10-03 22:24:09.640000,2018-10-03 23:55:45.592000,112,56,123.40065,41.79916,123.41198729999999,41.8078804,4.0
460000095005565778,2018-10-03 09:41:16.482000,2018-10-03 09:42:11.657000,116,1306,123.39877320000001,41.65663147,123.4041519,41.65242004,4.0
460000095005565778,2018-10-03 09:42:11.657000,2018-10-03 09:42:27.516000,1306,1309,123.4041519,41.65242004,123.40724180000001,41.6687088,4.0
460000095005565778,2018-10-03 09:42:27.516000,2018-10-03 09:55:10.113000,1309,829,123.40724180000001,41.6687088,123.3996277,41.69952011,4.0
460000095005565778,2018-10-03 09:55:10.113000,2018-10-03 09:56:19.144000,829,1224,123.3996277,41.69952011,123.3918686,41.71324921,4.0
460000095005565778,2018-10-03 09:56:19.144000,2018-10-03 10:08:50.941000,1224,916,123.3918686,41.71324921,123.3974915,41.79610062,4.0
460000095005565778,2018-10-03 10:01:36.839000,2018-10-03 10:19:02.986000,916,806,123.3974915,41.79610062,123.38919070000001,41.78546906,4.0
460000095005565778,2018-10-03 10:19:02.986000,2018-10-03 10:23:02.375000,806,274,123.38919070000001,41.78546906,123.40197749999999,41.78142166,4.0
460000095005565778,2018-10-03 10:23:02.375000,2018-10-03 11:50:02.445000,274,536,123.40197749999999,41.78142166,123.41152949999999,41.76802826,4.0
460000095005565778,2018-10-03 11:01:19.885000,2018-10-03 14:05:49.370000,536,536,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0
460000095005565778,2018-10-03 14:05:49.370000,2018-10-03 14:20:28.927000,536,535,123.41152949999999,41.76802826,123.4357605,41.77159119,4.0
460000095005565778,2018-10-03 14:20:28.927000,2018-10-03 15:13:57.253000,535,1305,123.4357605,41.77159119,123.41596979999998,41.7686615,4.0
460000095005565778,2018-10-03 15:03:33.088000,2018-10-03 16:26:29.316000,536,536,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0
460000095005565778,2018-10-03 16:00:37.325000,2018-10-03 18:56:20.287000,536,536,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0
460000095005565778,2018-10-03 18:56:20.287000,2018-10-03 19:20:18.013000,536,536,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0
460000095005565778,2018-10-03 19:20:18.013000,2018-10-03 20:09:27.275000,536,536,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0
460000095005565778,2018-10-03 20:09:27.275000,2018-10-03 21:26:24.897000,536,1074,123.41152949999999,41.76802826,123.4073486,41.77185059,4.0
460000095005565778,2018-10-03 21:19:58.142000,2018-10-03 21:54:20.376000,1308,809,123.41349790000001,41.78467178,123.41928100000001,41.80438995,4.0
460000095005565778,2018-10-03 21:32:36.091000,2018-10-03 23:20:45.696000,64,64,123.40870670000001,41.80638123,123.40870670000001,41.80638123,1.0
460000095005571676,2018-10-03 00:02:12.709000,2018-10-03 02:47:47.320000,661,85,123.41816709999999,41.81634903,123.415947,41.82638931,4.0
460000095005571676,2018-10-03 02:46:25.496000,2018-10-03 04:09:52.360000,65,663,123.41683959999999,41.82715988,123.39129640000002,41.86468887,4.0
460000095005571676,2018-10-03 04:09:52.360000,2018-10-03 12:34:08.434000,663,87,123.39129640000002,41.86468887,123.41722109999999,41.8232193,4.0
460000095005571676,2018-10-03 10:26:13.368000,2018-10-03 15:46:47.531000,662,661,123.41699979999999,41.81206894,123.41816709999999,41.81634903,3.0
460000095005571676,2018-10-03 13:56:48.932000,2018-10-03 18:20:31.674000,89,85,123.42485049999999,41.80847931,123.415947,41.82638931,4.0
460000095005571676,2018-10-03 16:07:21.201000,2018-10-03 19:15:54.415000,317,13,123.42086029999999,41.81906128,123.41667179999999,41.8102417,4.0
460000095005571676,2018-10-03 18:27:14.586000,2018-10-03 21:07:11.681000,13,13,123.41667179999999,41.8102417,123.41667179999999,41.8102417,1.0
460000095005571676,2018-10-03 20:00:40.415000,2018-10-03 23:49:02.306000,13,13,123.41667179999999,41.8102417,123.41667179999999,41.8102417,1.0
