imsi,start,end,startPlot,endPlot,usedTime,distance,speed,mytime,startlatitude,startlongitude,endlatitude,endlongitude,type,duration,bustype,hasSubway,real_speed
4.600000950055612e+17,1538508443086.0,1538559097549.0,106.0,107.0,844.2410500000002,964.0,1.1684848484848485,50654.463,122.88963319999999,41.51470947,122.89608759999999,41.51839828,2.0,825.0,,,0.019030899607009946
4.600000950055612e+17,1538563007506.0,1538565120612.0,110.0,108.0,35.218433333333344,1534.0,6.5,2113.106,122.90679170000001,41.52077866,122.8947372,41.51762009,1.0,236.0,,,0.7259455985643881
4.600000950055612e+17,1538573050048.0,1538575290834.0,107.0,111.0,37.346433333333344,43501.0,14.418627775936361,2240.786,122.89608759999999,41.51839828,123.2350616,41.76229858,1.0,3017.0,,,19.413277305374095
4.600000950055612e+17,1538575290834.0,1538575735900.0,111.0,109.0,7.417766666666666,6985.0,9.950142450142451,445.066,123.2350616,41.76229858,123.30343629999999,41.77828979,1.0,702.0,,,15.694301519325224
4.600000950055612e+17,1538575735900.0,1538576649640.0,109.0,112.0,15.229,10384.0,7.312676056338028,913.74,123.30343629999999,41.77828979,123.40065,41.79916,1.0,1420.0,,,11.364283056449318
4.6000009500556576e+17,1538530947516.0,1538531710113.0,1309.0,829.0,12.70995,4465.0,8.703703703703704,762.597,123.40724180000001,41.6687088,123.3996277,41.69952011,1.0,513.0,,,5.854992873037791
4.6000009500556576e+17,1538531710113.0,1538531779144.0,829.0,1224.0,1.1505166666666669,4276.0,9.762557077625571,69.031,123.3996277,41.69952011,123.3918686,41.71324921,1.0,438.0,,,61.94318494589387
4.6000009500556576e+17,1538531779144.0,1538532096839.0,1224.0,916.0,5.2949166666666665,12470.0,8.55281207133059,317.695,123.3918686,41.71324921,123.3974915,41.79610062,1.0,1458.0,,,39.25148334094021
4.6000009500556576e+17,1538533382375.0,1538535679885.0,274.0,536.0,38.291833333333344,2115.0,6.294642857142857,2297.51,123.40197749999999,41.78142166,123.41152949999999,41.76802826,1.0,336.0,,,0.9205618256286152
4.6000009500556576e+17,1538538602445.0,1538546749370.0,536.0,536.0,135.78208333333333,1.0,0.3333333333333333,8146.925,123.41152949999999,41.76802826,123.41152949999999,41.76802826,1.0,3.0,,,0.0001227456985304271
