timestamp,imsi,longitude,latitude,newPlot
1538508443086,460000095005561145,122.8896332,41.51470947,106
1538559097549,460000095005561145,122.8960876,41.51839828,107
1538559169283,460000095005561145,122.8960876,41.51839828,107
1538559199553,460000095005561145,122.8960876,41.51839828,107
1538560137489,460000095005561145,122.8960876,41.51839828,107
1538561315508,460000095005561145,122.8896332,41.51470947,106
1538561315511,460000095005561145,122.8896332,41.51470947,106
1538561699021,460000095005561145,122.8741531,41.50146866,113
1538561797819,460000095005561145,122.8896332,41.51470947,106
1538561873017,460000095005561145,122.8896332,41.51470947,106
1538563007506,460000095005561145,122.9067917,41.52077866,110
1538565120612,460000095005561145,122.8947372,41.51762009,108
1538565308214,460000095005561145,122.8947372,41.51762009,108
1538566778191,460000095005561145,122.8947372,41.51762009,108
1538566796274,460000095005561145,122.8947372,41.51762009,108
1538567458779,460000095005561145,122.8947372,41.51762009,108
1538567647584,460000095005561145,122.8947372,41.51762009,108
1538568629449,460000095005561145,122.8947372,41.51762009,108
1538568718149,460000095005561145,122.8947372,41.51762009,108
1538569911052,460000095005561145,122.8947372,41.51762009,108
1538570363169,460000095005561145,122.8947372,41.51762009,108
1538570436158,460000095005561145,122.8960876,41.51839828,107
1538570526036,460000095005561145,122.8960876,41.51839828,107
1538571786846,460000095005561145,122.8947372,41.51762009,108
1538571908278,460000095005561145,122.8947372,41.51762009,108
1538573050048,460000095005561145,122.8960876,41.51839828,107
1538575290834,460000095005561145,123.2350616,41.76229858,111
1538575735900,460000095005561145,123.3034363,41.77828979,109
1538576649640,460000095005561145,123.40065,41.79916,112
1538578125445,460000095005561145,123.4119873,41.8078804,56
1538578725451,460000095005561145,123.4119873,41.8078804,56
1538578739839,460000095005561145,123.4119873,41.8078804,56
1538579250187,460000095005561145,123.4119873,41.8078804,56
1538580686688,460000095005561145,123.4119873,41.8078804,56
1538582002656,460000095005561145,123.4087296,41.80886078,43
1538582145592,460000095005561145,123.4087296,41.80886078,43
1538530876482,460000095005565778,123.3987732,41.65663147,116
1538530931657,460000095005565778,123.4041519,41.65242004,1306
1538530947516,460000095005565778,123.4072418,41.6687088,1309
1538531710113,460000095005565778,123.3996277,41.69952011,829
1538531779144,460000095005565778,123.3918686,41.71324921,1224
1538532096839,460000095005565778,123.3974915,41.79610062,916
1538532258377,460000095005565778,123.3974915,41.79610062,916
1538532530941,460000095005565778,123.3974915,41.79610062,916
1538533142986,460000095005565778,123.3891907,41.78546906,806
1538533382375,460000095005565778,123.4019775,41.78142166,274
1538535679885,460000095005565778,123.4115295,41.76802826,536
1538536040565,460000095005565778,123.4115295,41.76802826,536
1538536893951,460000095005565778,123.4115295,41.76802826,536
1538538602445,460000095005565778,123.4115295,41.76802826,536
1538546749370,460000095005565778,123.4115295,41.76802826,536
1538547628927,460000095005565778,123.4357605,41.77159119,535
1538550213088,460000095005565778,123.4159698,41.7686615,1305
1538550214936,460000095005565778,123.4115295,41.76802826,536
1538550226803,460000095005565778,123.4115295,41.76802826,536
1538550837253,460000095005565778,123.4115295,41.76802826,536
1538553637325,460000095005565778,123.4115295,41.76802826,536
1538553876126,460000095005565778,123.4115295,41.76802826,536
1538554368579,460000095005565778,123.4115295,41.76802826,536
1538555189316,460000095005565778,123.4115295,41.76802826,536
1538564180287,460000095005565778,123.4115295,41.76802826,536
1538565618013,460000095005565778,123.4115295,41.76802826,536
1538568567275,460000095005565778,123.4115295,41.76802826,536
1538572798142,460000095005565778,123.4073486,41.77185059,1074
1538573093994,460000095005565778,123.4168015,41.77732849,1307
1538573184897,460000095005565778,123.4134979,41.78467178,1308
1538573556091,460000095005565778,123.419281,41.80438995,809
1538573632045,460000095005565778,123.4128571,41.80469894,10
1538573656741,460000095005565778,123.4128571,41.80469894,10
1538574860376,460000095005565778,123.4087067,41.80638123,64
1538576909867,460000095005565778,123.4087067,41.80638123,64
1538577009036,460000095005565778,123.4087067,41.80638123,64
1538577941346,460000095005565778,123.4106903,41.80588913,131
1538577965870,460000095005565778,123.4087067,41.80638123,64
1538578107740,460000095005565778,123.4106903,41.80588913,131
1538578605866,460000095005565778,123.4087067,41.80638123,64
1538579237623,460000095005565778,123.4087067,41.80638123,64
1538579411875,460000095005565778,123.4087067,41.80638123,64
1538580045696,460000095005565778,123.4087067,41.80638123,64
1538496132709,460000095005571676,123.4117813,41.80295181,349
1538496581757,460000095005571676,123.4117813,41.80295181,349
1538498011833,460000095005571676,123.4142609,41.80113983,207
1538498302308,460000095005571676,123.4117813,41.80295181,349
1538498665215,460000095005571676,123.4117813,41.80295181,349
1538499574695,460000095005571676,123.4117813,41.80295181,349
1538499814302,460000095005571676,123.4117813,41.80295181,349
1538500602306,460000095005571676,123.4117813,41.80295181,349
1538500728308,460000095005571676,123.4117813,41.80295181,349
1538501897955,460000095005571676,123.4117813,41.80295181,349
1538503176442,460000095005571676,123.4117813,41.80295181,349
1538503208495,460000095005571676,123.4117813,41.80295181,349
1538504406294,460000095005571676,123.4117813,41.80295181,349
1538504525780,460000095005571676,123.4117813,41.80295181,349
1538505018805,460000095005571676,123.4117813,41.80295181,349
1538505500935,460000095005571676,123.4166718,41.8102417,13
1538505985496,460000095005571676,123.415947,41.82638931,85
1538506011175,460000095005571676,123.415947,41.82638931,85
1538506029891,460000095005571676,123.415947,41.82638931,85
1538506067320,460000095005571676,123.4168396,41.82715988,65
1538506115115,460000095005571676,123.4181671,41.81634903,661
1538506291677,460000095005571676,123.4181671,41.81634903,661
1538506314642,460000095005571676,123.4181671,41.81634903,661
1538506598569,460000095005571676,123.4143829,41.81169891,62
1538506674165,460000095005571676,123.4143829,41.81169891,62
1538507289533,460000095005571676,123.4143829,41.81169891,62
1538507453101,460000095005571676,123.4143829,41.81169891,62
1538507932163,460000095005571676,123.4143829,41.81169891,62
1538507954880,460000095005571676,123.4143829,41.81169891,62
1538508201117,460000095005571676,123.4207916,41.81219864,332
1538508303970,460000095005571676,123.4143829,41.81169891,62
1538508483676,460000095005571676,123.4143829,41.81169891,62
1538508720540,460000095005571676,123.4181671,41.81634903,661
