imsi,longitude,latitude,plot,date_time
460000095005561145,122.8896332,41.51470947,159,2018-10-03 03:27:23.086
460000095005561145,122.8741531,41.50146866,171,2018-10-03 18:14:59.021
460000095005561145,122.9067917,41.52077866,167,2018-10-03 18:36:47.506
460000095005561145,123.2350616,41.76229858,168,2018-10-03 22:01:30.834
460000095005561145,123.3034363,41.77828979,166,2018-10-03 22:08:55.900
460000095005561145,123.40065,41.79916,169,2018-10-03 22:24:09.640
460000095005565778,123.3987732,41.65663147,2337,2018-10-03 09:41:16.482
460000095005565778,123.4041519,41.65242004,2332,2018-10-03 09:42:11.657
460000095005565778,123.4072418,41.6687088,2338,2018-10-03 09:42:27.516
460000095005565778,123.3996277,41.69952011,2333,2018-10-03 09:55:10.113
460000095005565778,123.3918686,41.71324921,2120,2018-10-03 09:56:19.144
460000095005565778,123.3974915,41.79610062,1800,2018-10-03 10:01:36.839
460000095005565778,123.3974915,41.79610062,2330,2018-10-03 10:04:18.377
460000095005565778,123.3974915,41.79610062,2329,2018-10-03 10:08:50.941
460000095005565778,123.3891907,41.78546906,2326,2018-10-03 10:19:02.986
460000095005565778,123.4019775,41.78142166,2334,2018-10-03 10:23:02.375
460000095005565778,123.4115295,41.76802826,2051,2018-10-03 14:05:49.370
460000095005565778,123.4357605,41.77159119,814,2018-10-03 14:20:28.927
460000095005565778,123.4115295,41.76802826,2062,2018-10-03 18:56:20.287
460000095005565778,123.4115295,41.76802826,2062,2018-10-03 19:20:18.013
460000095005565778,123.4115295,41.76802826,2062,2018-10-03 20:09:27.275
460000095005565778,123.4073486,41.77185059,1812,2018-10-03 21:19:58.142
460000095005565778,123.4168015,41.77732849,2335,2018-10-03 21:24:53.994
460000095005565778,123.4134979,41.78467178,2336,2018-10-03 21:26:24.897
460000095005571676,123.39129640000002,41.86468887,1041,2018-10-03 04:09:52.360
460000095005571676,123.4169998,41.81206894,1036,2018-10-03 12:34:08.434
460000095007329090,123.41596979999998,41.80778122,0,2018-10-03 00:04:51.244
460000095007329090,123.41596979999998,41.80778122,12,2018-10-03 00:07:15.651
460000095007329090,123.41596979999998,41.80778122,11,2018-10-03 01:28:07.191
460000095007329090,123.41596979999998,41.80778122,0,2018-10-03 01:49:07.368
460000095007329090,123.41596979999998,41.80778122,7,2018-10-03 04:25:11.031
460000095007329090,123.41596979999998,41.80778122,7,2018-10-03 04:25:30.001
460000095007329090,123.41596979999998,41.80778122,0,2018-10-03 05:18:44.356
460000095007329090,123.41596979999998,41.80778122,12,2018-10-03 06:40:38.702
460000095007329090,123.41596979999998,41.80778122,12,2018-10-03 07:03:49.415
460000095007329090,123.41596979999998,41.80778122,7,2018-10-03 07:36:40.725
460000095007329090,123.4166718,41.8102417,23,2018-10-03 07:39:41.221
460000095007329090,123.4312515,41.80846024,17,2018-10-03 12:04:23.036
460000095007329090,123.4312515,41.80846024,2,2018-10-03 13:35:30.607
460000095007329090,123.4312515,41.80846024,2,2018-10-03 13:55:15.281
460000095007329090,123.4312515,41.80846024,17,2018-10-03 15:51:01.083
460000095007329090,123.4312515,41.80846024,2,2018-10-03 18:57:06.001
460000095007329090,123.4344177,41.81195831,20,2018-10-03 19:24:56.389
460000095007687263,123.3987732,41.65663147,181,2018-10-03 00:01:52.893
460000095007687263,123.3987732,41.65663147,181,2018-10-03 00:09:00.474
460000095007687263,123.3987732,41.65663147,181,2018-10-03 01:08:55.356
460000095007687263,123.3987732,41.65663147,181,2018-10-03 01:28:42.885
460000095007687263,123.3987732,41.65663147,181,2018-10-03 02:27:09.760
460000095007687263,123.3987732,41.65663147,181,2018-10-03 03:06:15.367
460000095007687263,123.3987732,41.65663147,181,2018-10-03 03:45:22.235
460000095007687263,123.3987732,41.65663147,181,2018-10-03 07:37:27.996
460000095007687263,123.3987732,41.65663147,181,2018-10-03 07:47:26.885
460000095007687263,123.3987732,41.65663147,181,2018-10-03 08:26:21.755
460000095007687263,123.3987732,41.65663147,181,2018-10-03 09:22:01.771
460000095007687263,123.3987732,41.65663147,181,2018-10-03 09:23:08.281
460000095007687263,123.3987732,41.65663147,182,2018-10-03 09:41:20.957
460000095007687263,123.3987732,41.65663147,174,2018-10-03 10:19:19.366
460000095007687263,123.3987732,41.65663147,181,2018-10-03 10:42:22.899
460000095007687263,123.3987732,41.65663147,174,2018-10-03 11:38:50.560
460000095007687263,123.3987732,41.65663147,174,2018-10-03 12:16:30.390
460000095007687263,123.3956985,41.66041946,197,2018-10-03 13:18:49.467
460000095007687263,123.3987732,41.65663147,174,2018-10-03 13:19:56.674
460000095007687263,123.3987732,41.65663147,174,2018-10-03 13:58:06.389
460000095007687263,123.3987732,41.65663147,181,2018-10-03 14:09:50.336
460000095007687263,123.3987732,41.65663147,174,2018-10-03 14:11:32.383
460000095007687263,123.3872604,41.68149948,175,2018-10-03 14:18:34.780
460000095007687263,123.4100418,41.71696854,189,2018-10-03 14:22:28.963
460000095007687263,123.4054337,41.73435974,191,2018-10-03 14:26:39.575
460000095007687263,123.4054337,41.73435974,178,2018-10-03 14:26:43.035
460000095007687263,123.4003372,41.74890900000001,187,2018-10-03 14:30:45.660
460000095007687263,123.3922501,41.76182175,176,2018-10-03 14:34:02.424
460000095007687263,123.3636017,41.76478958,198,2018-10-03 14:36:11.871
460000095007687263,123.3297577,41.79167938,179,2018-10-03 14:40:06.946
460000095007687263,123.341301,41.83958817,192,2018-10-03 15:15:27.375
460000095007687263,123.341301,41.83958817,192,2018-10-03 15:16:32.296
460000095007687263,123.34158329999998,41.83486938,196,2018-10-03 17:37:40.793
460000095007687263,123.33554840000002,41.82492065,180,2018-10-03 17:39:05.803
460000095007687263,123.4041824,41.78815842,193,2018-10-03 23:30:02.334
460000095007687263,123.3968201,41.77841949,177,2018-10-03 23:32:26.508
460000095007687263,123.3975372,41.7638588,183,2018-10-03 23:36:25.858
460000095007687263,123.4074783,41.71160889,186,2018-10-03 23:45:16.324
460000095007687263,123.38263700000002,41.67253876,195,2018-10-03 23:52:19.300
460000095009768355,123.411911,41.81045914,8,2018-10-03 06:37:25.575
460000095009768355,123.411911,41.81045914,9,2018-10-03 08:38:52.621
460000095009768355,123.4106903,41.80588913,194,2018-10-03 14:47:24.409
460000095009768355,123.40065,41.79916,749,2018-10-03 14:51:25.455
460000095009768355,123.40065,41.79916,749,2018-10-03 14:51:38.238
460000095009768355,123.3893738,41.79671097,1054,2018-10-03 14:53:54.666
460000095009768355,123.34529109999998,41.7778511,1061,2018-10-03 15:06:21.510
460000095009768355,123.3244171,41.76126862,1071,2018-10-03 15:49:01.638
460000095009768355,123.3827209,41.7816391,1059,2018-10-03 17:36:08.130
460000095009768355,123.3827209,41.7816391,1059,2018-10-03 17:36:52.209
460000095009768355,123.411911,41.81045914,8,2018-10-03 20:09:10.515
460000095009824436,123.3890076,41.81945038,1742,2018-10-03 08:11:42.453
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 12:45:18.061
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 12:47:00.542
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 16:19:26.538
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 16:47:11.893
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 17:20:41.544
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 17:29:48.542
460000095009824436,123.41596979999998,41.80778122,1741,2018-10-03 17:30:27.790
460000095009824436,123.4078827,41.79407883,1748,2018-10-03 23:10:20.680
460000095009824436,123.4078827,41.79407883,1748,2018-10-03 23:10:23.298
460000095018240151,123.3980179,41.80838013,1252,2018-10-03 10:44:12.462
460000095018240151,123.3872375,41.81021118,988,2018-10-03 10:45:04.463
460000095018240151,123.3706284,41.81869888,1749,2018-10-03 10:47:01.562
460000095018240151,123.3706284,41.81869888,1749,2018-10-03 10:47:01.618
460000095018240151,123.45690159999998,41.82500839,1770,2018-10-03 15:27:53.118
460000095018240151,123.4166718,41.8102417,1033,2018-10-03 16:50:23.369
460000095018240151,123.4087067,41.80638123,1426,2018-10-03 17:15:41.821
460000095018240151,123.4166718,41.8102417,1031,2018-10-03 19:08:24.876
460000095018240151,123.4166718,41.8102417,1031,2018-10-03 20:24:19.397
460000095018240151,123.4166718,41.8102417,23,2018-10-03 20:36:20.150
460000095018240151,123.4166718,41.8102417,1043,2018-10-03 22:06:17.005
460000095028482910,123.31221770000002,41.56336975,49,2018-10-03 00:02:51.342
460000095028482910,123.30462649999998,41.4851799,2348,2018-10-03 00:07:53.265
460000095028482910,123.3042603,41.47729874,1336,2018-10-03 00:08:09.805
460000095028482910,123.3132935,41.43418884,1325,2018-10-03 00:10:45.661
460000095028482910,123.2502594,41.39519119,2339,2018-10-03 00:14:26.246
460000095028482910,123.2049103,41.36706161,2340,2018-10-03 00:16:52.711
460000095028482910,123.3226318,41.41409683,2346,2018-10-03 00:20:45.827
460000095028482910,122.8650894,41.12710953,2343,2018-10-03 00:37:03.206
460000095028482910,122.84641270000002,41.11033249,1423,2018-10-03 00:38:37.338
460000095028482910,122.8225937,41.08805847,2341,2018-10-03 00:39:40.260
460000095040541608,123.3898087,41.81626892,1788,2018-10-03 00:00:04.916
460000095040541608,123.3870926,41.78590775,1421,2018-10-03 06:46:07.313
460000095040541608,123.3891907,41.78546906,1794,2018-10-03 06:46:17.638
460000095040541608,123.406723,41.59967041,1790,2018-10-03 06:54:17.689
460000095040541608,123.37487790000002,41.53720856,1795,2018-10-03 06:55:49.611
460000095040541608,123.3845367,41.54256058,727,2018-10-03 06:56:39.001
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 01:08:33.850
460000095040591270,123.3981628,41.81435013,2350,2018-10-03 02:10:13.425
460000095040591270,123.3981628,41.81435013,2350,2018-10-03 02:11:59.334
460000095040591270,123.3981628,41.81435013,2350,2018-10-03 03:05:18.213
460000095040591270,123.3981628,41.81435013,2350,2018-10-03 03:46:55.985
460000095040591270,123.3981628,41.81435013,2350,2018-10-03 04:37:10.236
460000095040591270,123.3981628,41.81435013,2354,2018-10-03 06:04:56.355
460000095040591270,123.3981628,41.81435013,2354,2018-10-03 06:16:01.690
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 08:47:50.258
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 09:48:43.356
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 09:48:43.542
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 09:55:02.196
460000095040591270,123.34158329999998,41.83486938,2356,2018-10-03 11:01:23.724
460000095040591270,123.3611298,41.85953903,2357,2018-10-03 11:20:22.183
460000095040591270,123.3128815,41.84870911,1731,2018-10-03 15:49:31.973
460000095040591270,123.3128815,41.84870911,1731,2018-10-03 16:04:53.579
460000095040591270,123.3128815,41.84870911,1731,2018-10-03 16:21:53.735
460000095040591270,123.3128815,41.84870911,1731,2018-10-03 16:54:29.100
460000095040591270,123.4087296,41.80886078,58,2018-10-03 18:12:31.762
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 19:59:23.128
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 20:37:07.558
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 21:57:46.780
460000095040591270,123.4021606,41.8132515,2349,2018-10-03 22:03:50.335
460000095057074060,123.4362564,41.81409836,148,2018-10-03 00:16:55.867
460000095057074060,123.4362564,41.81409836,148,2018-10-03 00:17:24.573
460000095057074060,123.4435272,41.81632996,143,2018-10-03 01:06:43.264
460000095057074060,123.4362564,41.81409836,148,2018-10-03 01:49:25.525
460000095057074060,123.4362564,41.81409836,152,2018-10-03 01:49:55.351
460000095057074060,123.4362564,41.81409836,148,2018-10-03 01:50:30.252
460000095057074060,123.4362564,41.81409836,148,2018-10-03 02:51:21.943
460000095057074060,123.4362564,41.81409836,148,2018-10-03 04:44:04.703
460000095057074060,123.4435272,41.81632996,143,2018-10-03 04:44:10.563
460000095057074060,123.4498215,41.8127594,155,2018-10-03 08:15:06.755
460000095057074060,123.45134740000002,41.80987167,156,2018-10-03 08:15:24.336
460000095057074060,123.5129471,41.81296921,153,2018-10-03 08:21:08.705
460000095057074060,123.5773392,41.84096146,154,2018-10-03 08:30:38.716
460000095057074060,123.5701828,41.84872055,149,2018-10-03 08:32:37.364
460000095057074060,123.79702,41.89694977,158,2018-10-03 08:51:27.621
460000095057074060,123.8424911,41.90208054,147,2018-10-03 08:54:07.280
460000095057074060,123.8424911,41.90208054,150,2018-10-03 08:56:08.199
460000095057074060,123.9071808,41.90761185,157,2018-10-03 08:58:19.439
460000095057074060,123.9822388,41.91376114,146,2018-10-03 09:04:41.318
460000095060523239,123.3960419,41.80461121,903,2018-10-03 00:19:04.085
460000095060523239,123.39026640000002,41.80527878,1084,2018-10-03 00:19:47.511
460000095060523239,123.3762817,41.8028717,76,2018-10-03 00:21:53.575
460000095060523239,123.3704987,41.8051796,1179,2018-10-03 00:22:54.669
460000095060523239,123.36985020000002,41.80355072,1180,2018-10-03 00:24:06.085
